Namespace(input='MUTAG', model='Neural', runs=10, epochs=1000, seed=42, lr=0.001, weight_decay=0.0, num_hid=128, dropout=0.0, path='./results_graph_cls/', num_layers=3, max_iter=20, threshold=1e-06, mu=1.25)
---------fold_idx: 0-------------
Epoch: 001, Train Loss: 0.7106946, Train Acc: 0.7278107, Test Acc: 0.8421053, Train_Time: 1.10023
Epoch: 002, Train Loss: 0.6048894, Train Acc: 0.7514793, Test Acc: 0.8421053, Train_Time: 0.19834
Epoch: 003, Train Loss: 0.6134597, Train Acc: 0.7278107, Test Acc: 0.8421053, Train_Time: 0.19435
Epoch: 004, Train Loss: 0.6366861, Train Acc: 0.8402367, Test Acc: 0.7368421, Train_Time: 0.19815
Epoch: 005, Train Loss: 0.6382186, Train Acc: 0.6745562, Test Acc: 0.5789474, Train_Time: 0.20061
Epoch: 006, Train Loss: 0.6276078, Train Acc: 0.6745562, Test Acc: 0.5789474, Train_Time: 0.19345
Epoch: 007, Train Loss: 0.6063716, Train Acc: 0.6745562, Test Acc: 0.5789474, Train_Time: 0.19272
Epoch: 008, Train Loss: 0.6033345, Train Acc: 0.6745562, Test Acc: 0.5789474, Train_Time: 0.20037
Epoch: 009, Train Loss: 0.6027544, Train Acc: 0.6745562, Test Acc: 0.5789474, Train_Time: 0.19665
Epoch: 010, Train Loss: 0.5778623, Train Acc: 0.6804734, Test Acc: 0.6315789, Train_Time: 0.20242
Epoch: 011, Train Loss: 0.5824473, Train Acc: 0.6745562, Test Acc: 0.5789474, Train_Time: 0.19868
Epoch: 012, Train Loss: 0.5933803, Train Acc: 0.6863905, Test Acc: 0.5789474, Train_Time: 0.19649
Epoch: 013, Train Loss: 0.5858277, Train Acc: 0.5502959, Test Acc: 0.5263158, Train_Time: 0.19459
Epoch: 014, Train Loss: 0.6166908, Train Acc: 0.7041420, Test Acc: 0.6315789, Train_Time: 0.20035
Epoch: 015, Train Loss: 0.5724117, Train Acc: 0.6745562, Test Acc: 0.5789474, Train_Time: 0.19292
Epoch: 016, Train Loss: 0.5543764, Train Acc: 0.7159763, Test Acc: 0.6842105, Train_Time: 0.20244
Epoch: 017, Train Loss: 0.5893308, Train Acc: 0.7100592, Test Acc: 0.5789474, Train_Time: 0.19385
Epoch: 018, Train Loss: 0.5465659, Train Acc: 0.6804734, Test Acc: 0.5789474, Train_Time: 0.19877
Epoch: 019, Train Loss: 0.5465155, Train Acc: 0.6863905, Test Acc: 0.5789474, Train_Time: 0.27405
Epoch: 020, Train Loss: 0.5630895, Train Acc: 0.6982249, Test Acc: 0.7894737, Train_Time: 0.19481
Epoch: 021, Train Loss: 0.5916834, Train Acc: 0.6804734, Test Acc: 0.5789474, Train_Time: 0.19687
Epoch: 022, Train Loss: 0.5441400, Train Acc: 0.6863905, Test Acc: 0.5789474, Train_Time: 0.19603
Epoch: 023, Train Loss: 0.5154535, Train Acc: 0.6745562, Test Acc: 0.6842105, Train_Time: 0.19884
Epoch: 024, Train Loss: 0.5688445, Train Acc: 0.7337278, Test Acc: 0.6315789, Train_Time: 0.19824
Epoch: 025, Train Loss: 0.5317043, Train Acc: 0.6863905, Test Acc: 0.5789474, Train_Time: 0.20737
Epoch: 026, Train Loss: 0.5195342, Train Acc: 0.7928994, Test Acc: 0.7368421, Train_Time: 0.19544
Epoch: 027, Train Loss: 0.5245693, Train Acc: 0.6982249, Test Acc: 0.6315789, Train_Time: 0.19104
Epoch: 028, Train Loss: 0.4948132, Train Acc: 0.7218935, Test Acc: 0.6315789, Train_Time: 0.20169
Epoch: 029, Train Loss: 0.4583857, Train Acc: 0.7810651, Test Acc: 0.7368421, Train_Time: 0.19602
Epoch: 030, Train Loss: 0.5621878, Train Acc: 0.7278107, Test Acc: 0.6315789, Train_Time: 0.19452
Epoch: 031, Train Loss: 0.5125292, Train Acc: 0.7692308, Test Acc: 0.6842105, Train_Time: 0.19358
Epoch: 032, Train Loss: 0.4599087, Train Acc: 0.7810651, Test Acc: 0.6315789, Train_Time: 0.19896
Epoch: 033, Train Loss: 0.4546914, Train Acc: 0.8402367, Test Acc: 0.6842105, Train_Time: 0.19468
Epoch: 034, Train Loss: 0.5414634, Train Acc: 0.8343195, Test Acc: 0.6315789, Train_Time: 0.19936
Epoch: 035, Train Loss: 0.4276238, Train Acc: 0.8165680, Test Acc: 0.6315789, Train_Time: 0.19422
Epoch: 036, Train Loss: 0.4564950, Train Acc: 0.8520710, Test Acc: 0.6315789, Train_Time: 0.19866
Epoch: 037, Train Loss: 0.4330666, Train Acc: 0.8579882, Test Acc: 0.7894737, Train_Time: 0.19114
Epoch: 038, Train Loss: 0.4671506, Train Acc: 0.7869822, Test Acc: 0.6315789, Train_Time: 0.20204
Epoch: 039, Train Loss: 0.4439167, Train Acc: 0.8165680, Test Acc: 0.7368421, Train_Time: 0.19790
Epoch: 040, Train Loss: 0.6644028, Train Acc: 0.6982249, Test Acc: 0.6315789, Train_Time: 0.19750
Epoch: 041, Train Loss: 0.6239370, Train Acc: 0.7988166, Test Acc: 0.7368421, Train_Time: 0.20016
Epoch: 042, Train Loss: 0.5438872, Train Acc: 0.7751479, Test Acc: 0.6315789, Train_Time: 0.19644
Epoch: 043, Train Loss: 0.4920136, Train Acc: 0.7455621, Test Acc: 0.6315789, Train_Time: 0.20407
Epoch: 044, Train Loss: 0.4653322, Train Acc: 0.8106509, Test Acc: 0.5263158, Train_Time: 0.19872
Epoch: 045, Train Loss: 0.4877930, Train Acc: 0.8106509, Test Acc: 0.5263158, Train_Time: 0.19382
Epoch: 046, Train Loss: 0.4979855, Train Acc: 0.8047337, Test Acc: 0.6315789, Train_Time: 0.20578
Epoch: 047, Train Loss: 0.4490307, Train Acc: 0.8106509, Test Acc: 0.6315789, Train_Time: 0.19190
Epoch: 048, Train Loss: 0.4448389, Train Acc: 0.8224852, Test Acc: 0.6842105, Train_Time: 0.19578
Epoch: 049, Train Loss: 0.5330455, Train Acc: 0.8520710, Test Acc: 0.7368421, Train_Time: 0.20316
Epoch: 050, Train Loss: 0.4979472, Train Acc: 0.7573964, Test Acc: 0.6315789, Train_Time: 0.18905
Epoch: 051, Train Loss: 0.4450448, Train Acc: 0.8520710, Test Acc: 0.7894737, Train_Time: 0.20049
Epoch: 052, Train Loss: 0.4966173, Train Acc: 0.8579882, Test Acc: 0.6315789, Train_Time: 0.19424
Epoch: 053, Train Loss: 0.4740798, Train Acc: 0.8106509, Test Acc: 0.6315789, Train_Time: 0.20051
Epoch: 054, Train Loss: 0.4355151, Train Acc: 0.8402367, Test Acc: 0.7368421, Train_Time: 0.19837
Epoch: 055, Train Loss: 0.4864407, Train Acc: 0.8284024, Test Acc: 0.6315789, Train_Time: 0.19706
Epoch: 056, Train Loss: 0.4456365, Train Acc: 0.8461538, Test Acc: 0.7894737, Train_Time: 0.19707
Epoch: 057, Train Loss: 0.4549574, Train Acc: 0.8639053, Test Acc: 0.8947368, Train_Time: 0.19160
Epoch: 058, Train Loss: 0.4350463, Train Acc: 0.8698225, Test Acc: 0.7894737, Train_Time: 0.19542
Epoch: 059, Train Loss: 0.4045368, Train Acc: 0.8698225, Test Acc: 0.7368421, Train_Time: 0.19857
Epoch: 060, Train Loss: 0.4441905, Train Acc: 0.8461538, Test Acc: 0.7894737, Train_Time: 0.19862
Epoch: 061, Train Loss: 0.4622171, Train Acc: 0.8343195, Test Acc: 0.7894737, Train_Time: 0.19580
Epoch: 062, Train Loss: 0.4845792, Train Acc: 0.8402367, Test Acc: 0.7894737, Train_Time: 0.20165
Epoch: 063, Train Loss: 0.4457422, Train Acc: 0.8402367, Test Acc: 0.7368421, Train_Time: 0.19898
Epoch: 064, Train Loss: 0.4807056, Train Acc: 0.8520710, Test Acc: 0.7368421, Train_Time: 0.19837
Epoch: 065, Train Loss: 0.4099658, Train Acc: 0.8284024, Test Acc: 0.7368421, Train_Time: 0.20017
Epoch: 066, Train Loss: 0.4595867, Train Acc: 0.8579882, Test Acc: 0.7894737, Train_Time: 0.19737
Epoch: 067, Train Loss: 0.4634799, Train Acc: 0.8520710, Test Acc: 0.7368421, Train_Time: 0.19212
Epoch: 068, Train Loss: 0.4547207, Train Acc: 0.8402367, Test Acc: 0.7894737, Train_Time: 0.19700
Epoch: 069, Train Loss: 0.4773731, Train Acc: 0.8579882, Test Acc: 0.7894737, Train_Time: 0.19316
Epoch: 070, Train Loss: 0.4003649, Train Acc: 0.8639053, Test Acc: 0.7894737, Train_Time: 0.19374
Epoch: 071, Train Loss: 0.4260767, Train Acc: 0.8639053, Test Acc: 0.7894737, Train_Time: 0.19258
Epoch: 072, Train Loss: 0.4389754, Train Acc: 0.8698225, Test Acc: 0.7368421, Train_Time: 0.19621
Epoch: 073, Train Loss: 0.3892451, Train Acc: 0.8402367, Test Acc: 0.8421053, Train_Time: 0.19500
Epoch: 074, Train Loss: 0.4314282, Train Acc: 0.8520710, Test Acc: 0.7894737, Train_Time: 0.19290
Epoch: 075, Train Loss: 0.4357383, Train Acc: 0.8520710, Test Acc: 0.8421053, Train_Time: 0.19817
Epoch: 076, Train Loss: 0.4597220, Train Acc: 0.8402367, Test Acc: 0.8421053, Train_Time: 0.19817
Epoch: 077, Train Loss: 0.3723136, Train Acc: 0.8461538, Test Acc: 0.7368421, Train_Time: 0.20073
Epoch: 078, Train Loss: 0.4452744, Train Acc: 0.8461538, Test Acc: 0.6315789, Train_Time: 0.19989
Epoch: 079, Train Loss: 0.4561570, Train Acc: 0.8284024, Test Acc: 0.7368421, Train_Time: 0.19440
Epoch: 080, Train Loss: 0.4098116, Train Acc: 0.8402367, Test Acc: 0.7368421, Train_Time: 0.19801
Epoch: 081, Train Loss: 0.4143665, Train Acc: 0.8402367, Test Acc: 0.6315789, Train_Time: 0.19396
Epoch: 082, Train Loss: 0.3656654, Train Acc: 0.8579882, Test Acc: 0.7368421, Train_Time: 0.19967
Epoch: 083, Train Loss: 0.4083392, Train Acc: 0.8579882, Test Acc: 0.7894737, Train_Time: 0.19038
Epoch: 084, Train Loss: 0.4246798, Train Acc: 0.8461538, Test Acc: 0.7894737, Train_Time: 0.19210
Epoch: 085, Train Loss: 0.4451003, Train Acc: 0.8579882, Test Acc: 0.6842105, Train_Time: 0.18747
Epoch: 086, Train Loss: 0.4042027, Train Acc: 0.8520710, Test Acc: 0.8421053, Train_Time: 0.19168
Epoch: 087, Train Loss: 0.4171092, Train Acc: 0.8579882, Test Acc: 0.8421053, Train_Time: 0.18835
Epoch: 088, Train Loss: 0.4721384, Train Acc: 0.8639053, Test Acc: 0.7894737, Train_Time: 0.19203
Epoch: 089, Train Loss: 0.3888329, Train Acc: 0.8698225, Test Acc: 0.8421053, Train_Time: 0.18980
Epoch: 090, Train Loss: 0.3936514, Train Acc: 0.8520710, Test Acc: 0.7894737, Train_Time: 0.18549
Epoch: 091, Train Loss: 0.4731816, Train Acc: 0.8402367, Test Acc: 0.6315789, Train_Time: 0.19709
Epoch: 092, Train Loss: 0.4327166, Train Acc: 0.8639053, Test Acc: 0.6315789, Train_Time: 0.18949
Epoch: 093, Train Loss: 0.3757992, Train Acc: 0.8165680, Test Acc: 0.7368421, Train_Time: 0.18561
Epoch: 094, Train Loss: 0.5235069, Train Acc: 0.8757396, Test Acc: 0.8421053, Train_Time: 0.19320
Epoch: 095, Train Loss: 0.4395965, Train Acc: 0.8165680, Test Acc: 0.6315789, Train_Time: 0.19410
Epoch: 096, Train Loss: 0.3802648, Train Acc: 0.8757396, Test Acc: 0.7894737, Train_Time: 0.18825
Epoch: 097, Train Loss: 0.4524657, Train Acc: 0.8757396, Test Acc: 0.7894737, Train_Time: 0.19332
Epoch: 098, Train Loss: 0.4249797, Train Acc: 0.8639053, Test Acc: 0.6315789, Train_Time: 0.18772
Epoch: 099, Train Loss: 0.4468782, Train Acc: 0.8461538, Test Acc: 0.6315789, Train_Time: 0.19313
Epoch: 100, Train Loss: 0.4146716, Train Acc: 0.8639053, Test Acc: 0.7894737, Train_Time: 0.19806
Epoch: 101, Train Loss: 0.4004050, Train Acc: 0.8639053, Test Acc: 0.7894737, Train_Time: 0.19305
Epoch: 102, Train Loss: 0.3881392, Train Acc: 0.8639053, Test Acc: 0.7894737, Train_Time: 0.19051
Epoch: 103, Train Loss: 0.3796963, Train Acc: 0.8402367, Test Acc: 0.6842105, Train_Time: 0.18885
Epoch: 104, Train Loss: 0.3649907, Train Acc: 0.8698225, Test Acc: 0.7894737, Train_Time: 0.18634
Epoch: 105, Train Loss: 0.4063005, Train Acc: 0.8461538, Test Acc: 0.7894737, Train_Time: 0.18977
Epoch: 106, Train Loss: 0.5881238, Train Acc: 0.8047337, Test Acc: 0.5789474, Train_Time: 0.18729
Epoch: 107, Train Loss: 0.4753367, Train Acc: 0.8343195, Test Acc: 0.7894737, Train_Time: 0.19149
Epoch: 108, Train Loss: 0.4801862, Train Acc: 0.8461538, Test Acc: 0.7894737, Train_Time: 0.18710
Epoch: 109, Train Loss: 0.5130673, Train Acc: 0.8224852, Test Acc: 0.5789474, Train_Time: 0.18074
Epoch: 110, Train Loss: 0.4818037, Train Acc: 0.8224852, Test Acc: 0.5789474, Train_Time: 0.18545
Epoch: 111, Train Loss: 0.4899455, Train Acc: 0.8165680, Test Acc: 0.6842105, Train_Time: 0.18520
Epoch: 112, Train Loss: 0.5034967, Train Acc: 0.8343195, Test Acc: 0.5789474, Train_Time: 0.18879
Epoch: 113, Train Loss: 0.4401465, Train Acc: 0.7692308, Test Acc: 0.5789474, Train_Time: 0.19306
Epoch: 114, Train Loss: 0.4626031, Train Acc: 0.8461538, Test Acc: 0.7368421, Train_Time: 0.19407
Epoch: 115, Train Loss: 0.4760490, Train Acc: 0.8520710, Test Acc: 0.7368421, Train_Time: 0.18885
Epoch: 116, Train Loss: 0.4897761, Train Acc: 0.7928994, Test Acc: 0.5789474, Train_Time: 0.18938
Epoch: 117, Train Loss: 0.4420950, Train Acc: 0.8284024, Test Acc: 0.7368421, Train_Time: 0.18907
Epoch: 118, Train Loss: 0.4253338, Train Acc: 0.8284024, Test Acc: 0.7368421, Train_Time: 0.18663
Epoch: 119, Train Loss: 0.4933982, Train Acc: 0.8343195, Test Acc: 0.5789474, Train_Time: 0.19168
Epoch: 120, Train Loss: 0.4587535, Train Acc: 0.8343195, Test Acc: 0.5789474, Train_Time: 0.18700
Epoch: 121, Train Loss: 0.3938655, Train Acc: 0.8402367, Test Acc: 0.7368421, Train_Time: 0.18573
Epoch: 122, Train Loss: 0.4571927, Train Acc: 0.8461538, Test Acc: 0.7368421, Train_Time: 0.17902
Epoch: 123, Train Loss: 0.4290421, Train Acc: 0.8461538, Test Acc: 0.7368421, Train_Time: 0.19763
Epoch: 124, Train Loss: 0.3999421, Train Acc: 0.8579882, Test Acc: 0.7894737, Train_Time: 0.18955
Epoch: 125, Train Loss: 0.4319208, Train Acc: 0.8284024, Test Acc: 0.6842105, Train_Time: 0.19521
Epoch: 126, Train Loss: 0.4472736, Train Acc: 0.8520710, Test Acc: 0.7368421, Train_Time: 0.19581
Epoch: 127, Train Loss: 0.4147878, Train Acc: 0.8520710, Test Acc: 0.7368421, Train_Time: 0.18896
Epoch: 128, Train Loss: 0.4121556, Train Acc: 0.8520710, Test Acc: 0.7368421, Train_Time: 0.18545
Epoch: 129, Train Loss: 0.4126388, Train Acc: 0.8284024, Test Acc: 0.7894737, Train_Time: 0.18858
Epoch: 130, Train Loss: 0.4766447, Train Acc: 0.8520710, Test Acc: 0.7894737, Train_Time: 0.19304
Epoch: 131, Train Loss: 0.4389530, Train Acc: 0.8402367, Test Acc: 0.7368421, Train_Time: 0.18686
Epoch: 132, Train Loss: 0.4223416, Train Acc: 0.8224852, Test Acc: 0.7894737, Train_Time: 0.19582
Epoch: 133, Train Loss: 0.4521012, Train Acc: 0.8579882, Test Acc: 0.7894737, Train_Time: 0.18747
Epoch: 134, Train Loss: 0.3882631, Train Acc: 0.8461538, Test Acc: 0.6315789, Train_Time: 0.18357
Epoch: 135, Train Loss: 0.4028528, Train Acc: 0.7159763, Test Acc: 0.6315789, Train_Time: 0.20386
Epoch: 136, Train Loss: 0.5457499, Train Acc: 0.8579882, Test Acc: 0.7368421, Train_Time: 0.18395
Epoch: 137, Train Loss: 0.4464935, Train Acc: 0.8224852, Test Acc: 0.6315789, Train_Time: 0.19228
Epoch: 138, Train Loss: 0.4610338, Train Acc: 0.8402367, Test Acc: 0.6315789, Train_Time: 0.19023
